S.No,Tweet,Points,Sentiment
306,So   let me get this straight   you sleep strip   Idk I just get uncomfortable at night    I just threw up     ,2,Positive
307,Yeah     its good im so tired tho    Eugh god nightshifts make me feel so sick     4 hours to go    can t wait to see Alii in the morning  3 ,-1,Negative
308,go back to her then    she missses you    dayemn   i miss him too ,0,Neutral
309,Nice dp     Miss you Poy        ,1,Positive
310,don t do anything stupid please    “,0,Neutral
311,Can t lie    already miss ,0,Neutral
312,      ” I miss you too we have issues    ,0,Neutral
313,abes tu kat kuantan sy da tade sape2    Stay sini    No puedo concentrarme a causa de mi credencial perdida    ,0,Neutral
314,I know     sadtweet ,0,Neutral
315,i know    O   RT ,0,Neutral
316,   RT ,0,Neutral
317,Save gaza  ˘ʃƪ˘   ,0,Neutral
318,I know    ,0,Neutral
319,ahhh I miss you babes sooooo much it s not funny   and we live so far apart  ugh    Eughhh need to go back to sleep and I can t    been counting sheep and everything ,-1,Negative
320,   I think I need some girl time   belum waktunya istirahat kak    RT ,1,Positive
321,ahahah lah knp kok gk maem haio Gusto ko manood ng Breaking Dawn II  Sino pwede kasama     ,1,Positive
322,omfg I miss Chloe so much     3 not Laila so much        and ssh ucas times were sick  3 hahaha ,0,Neutral
323,Man I want the whole turkey day experience but all of my friends are gone for the holiday    ,0,Neutral
324,   aw  So sorry  Remember  Allah is the best of planners  ,-1,Negative
325,WHAT NO YOUR NOT WHO SAID THAT     ,-1,Negative
326,Noooooo   I want Starbucks      TELL ME WHEN I CAN GET IT      arghh nmpk shrek pg td       rindu kt my shrek   huhuhu   tp shrek dh lupekn fiona      serasi tp xdpt hidup bersama    http   p twimg com A8MpXYxCAAAIqPD jpg Today has been so long    Please end already    ,2,Positive
327,awww 3 I would talk about you too but to who       lolthatwouldbeweird I MISS YOU AND LOVE YOU STAY STRONG  333 Jangan lagi2 tante plis    RT ,1,Positive
328,astagfirullah  ,0,Neutral
329,AstagaIbu Guru Pesta Seks dengan Siswanya Disaksikan ,0,Neutral
330,Bunch of insanity  I was going to punch the directors if they had killed off Carlisle  We didn t spend enough time together    My snapchatss are empty     ,1,Positive
331,oh  I hate jerks     RIP car ,-1,Negative
332,fucking boring u know    u guy left me alone         ,-1,Negative
333,noo    ,0,Neutral
334,http   p twimg com A8L0pAeCYAAb Y8 jpg  ,0,Neutral
335,I was sorry    sao ko vao dc onphim                       ,-1,Negative
336,awh I just tweeted you hahaha  p   tomorrow evening cause my stupid professor didn t cancel class   it s frm 3 30 4 50    ,0,Neutral
337,Haha well when it s a real boy everyone else likes him too     Sorry  I got a real life LOL out of it though  “,0,Neutral
338,  ” Friends said goodbye to their furry 4 legged friend today     We will miss her as she was one of the best    ,0,Neutral
339,that s awful    what about mine  தொட்டுவிட்டுப் போகும் பிரச்சனையும் அடித்துவிட்டுப் போகும் கஷ்டங்களும் முடிவடைந்தபின் புரியும் வாழ்க்கை கொஞ்சம்        Modeling was harder than I thought it would be     This might not be for me     ,-1,Negative
340,Coming to visit   Are you trying to say you re not home for break     ,-2,Negative
341,no fun    But for real I already miss all my friends from cstat     loveandmissyoualldearly ,0,Neutral
342,chakit ng likod ko e    nung Monday pa  Baldado much sko ngayon pramis   ✋ Super gusto ko gumora  От блин  Поиск по сайту не работает    no cel    Khai kuchoka nayo    Ah I miss you kaka Aya      ,3,Positive
343,I got milk    Hihihi   Cc  ,0,Neutral
344,smellyirene http   lockerz com s 263057462  ,0,Neutral
345,I m in merced    Matakuuuuuuuuu      at BKIM PROVINSI JAWA TENGAH  — http   path com p 26H8KB ,0,Neutral
346,why    ,0,Neutral
347,ahaa sleep just hates me    I ve been up since 7 whats going on   ,1,Positive
348,take ur eyes on my tweet just once    just once is enough  I m going crazy cuz  of you  you know that       ,3,Positive
349,welcome to mylife      I end doing my son homework    I really want to go early to bed    food smells so gooooood too had it isn t mine    ,1,Positive
350,its okay  Farahhh i demam    i demam sbb i rindu u kot  Zzzzzzz wth I wish I had someone to keep my jeep filled up     js Me voy a sacar el corazón    ,2,Positive
351,if only    ,0,Neutral
352,no    Actually something is wrong  No apps will launch and the charm bar is not working even after a reboot    ,-2,Negative
353,awww    That s so romantic    ,1,Positive
354,enjoys SnapChat more than my company      ,0,Neutral
355,lucky  This is my fourth Black Friday in retail    ,0,Neutral
356,fml    bilang aja encokga ush malu udin haha      ups  ,0,Neutral
357,sakit punggung yaAlloh      ,0,Neutral
358,I don t have one    ,0,Neutral
359,Lmao I don t     Q jum at     ,0,Neutral
360,Besok  s RT ,0,Neutral
361,Kelasmu enak sekali ga dpr ulangan fisika       RT ,0,Neutral
362,I wish I had someone to keep my jeep filled up     JusssSayinnn Someone needs too rescue me from this cable less hell hole   Gametonight    Eeehhhh tha ntb         Satu lg    Aku ta berani drive sowg    ble dln track tade cpew yg akan bgtaw aku nk kona bape kali kanan ke kiri ble nk buat parking    Rain and traffic    ,0,Neutral
363,needs to turn off espn and come to bed because I can t sleep wif out him    ,0,Neutral
364,your such a liar phillis I didn t see you     Laper tapi ga bisa makan apa2    Juicy    I luv u  SOA ,0,Neutral
365,   thinking of you him   your family  hugs  ,0,Neutral
366,Girl listen i was not ready for that chapter    none of it    I miss Paris    http   p twimg com A8MqBrRCcAALN4V jpg ,-1,Negative
367,at my casa  I m not going to the gym this week    but you should go with me     Hey    ,-1,Negative
368,   Siapakh nma dblik BLBOOK yg kau sembunyikn       gottaa headachee    Danny be gassin me         sakit mata lorhh     Ahh sarua atuh aku ge eta mh    RT ,0,Neutral
369,hiduppp     RT ,0,Neutral
370,Galaun kunaon qtu   RT  cont  http   tl gd k3226g ,0,Neutral
371,ana hal2 r7 a7kelk tusb7 3la 5aiir l2ny ma nmttt 6uul al lail     wallah al rwa2aaan ajmal mno ma fee   w inshallah eomk 7elw I hate this feeling      meh Omg I m so tired but I can t sleep at all   hmm  loveyou ,-1,Negative
372,llegando al destino final cerca a Dartmouth College  Lebanon New Hampshire  A Lima quiero ir pero no sé cuándo aún    I want donuts    ,0,Neutral
373,just now got into LA had a little more work to get done before I could leave    ,0,Neutral
374,seriously though you and ,0,Neutral
375,both are gone so I have no one to walk home with   ,-1,Negative
376,same girl  I miss my hella dope stoner  bestiez already     Crying ,-1,Negative
377,where have you guys been never see you anymore     and you live down the street  Ha  ithinkwevegotaproblem Wishing you were here ,0,Neutral
378,   I miss your pretty face  It s only be 3 months since my last workout     ,-1,Negative
379,Anytime Fitness  http   4sq com Uei5YL ,1,Positive
380,lol I felt no pain when I got my rare pierced Then I got an allergic reaction and that the only pain I ve felt from them    Twittteeelannnn    hahahaha RT ,-1,Negative
381,hmmm tumben apo     ,0,Neutral
382,I know that feel bro    ,0,Neutral
383,you re not going out  I didn t get one    lol ,-1,Negative
384,no you weren t supposed to see that byran    ,0,Neutral
385,CAAARAAAAA    ,0,Neutral
386,why you being mean     Quando a gente acha que não da pra piorar    quero minha mãe    Nabila wahida kenapa akad nikahmu harus selasa dan itu jam 10 pagi    http   myloc me qYCFZ Omg David is getting a new phone    I m jealous  Iyo pngen nikah trz cid bella iku wkwk RT ,0,Neutral
387,G lulus2 q cid    RT ,0,Neutral
388,Enakan ngunu tp bel RT ,0,Neutral
389,Semuanya Tis the season for chimney fires fa la la la la    I m about to be up all night doing this homework      ,1,Positive
390,I work a double Friday     wah Aku lemah tang parking    ta larat nk pusing stereng    Gila berattt   Smpai terangkat buntot aku nk pulas stereng       tiga pejuru pn same ,0,Neutral
391,yo tengo demasiados de color negro    ,0,Neutral
392,that hurts    i wanna tell the world about us but you dont put in the effort  you dont understand how hard i try for you     Okay jus be shady wit me   i thought i could talk to u for everything     GuessIWasWrong Sleeping alone now for 3 days     Tu dy bekaca di mba revo    RT “,0,Neutral
393,Tekanan batin aku di buatnya serasa ratu hidup org klo bgtu di rumah org nda ,0,Neutral
394,             Cheer up before I drive to Greenville  ,0,Neutral
395,japs fans nahyped masyado d pala sya matutuloy mmya sa auditions    when am i gonna find the girl who will throw up on my chest whilst watching hamtaro with me    Tomoro presentation    ,0,Neutral
396,I hope so I miss you     Well everyone s just getting home tonight and I m leaving in the morning       worsttimingever  iwannastayhere I Wish I Had Friends    It ll be gone soon tho    ,1,Positive
397,kesian die    ,0,Neutral
398,haha I m sorrrrryyy he made me do it    ,0,Neutral
399,unfollow me already    ,0,Neutral
400,   Ok RT ,0,Neutral
401,she went to bed loads of minutes before 8pm and now she s awake unable to sleep    RT ,1,Positive
402,    http   m tmi me AgQfe Porque me haces esto    ,0,Neutral
403,You aren t the only one    Gak service gak komplain lamaaa selesainya       at Honda Anugerah  PT  Anugerah Kasih Putera   — http   path com p 44J7S8 ,0,Neutral
404,I knowwww    I would in its you  But I have class tmrw  Those fuckers  Lol  My hubby is sick    ,-1,Negative
405,love you too  Yeah tahah things aren t the greatest right now    text me   headstartoncrying  blah laporny nyelip dua  ah tidaak semoga lagi bolong yah    ,2,Positive
406,belum    Ughh I think I m getting sick    ,-1,Negative
407,       not till like Monday probably  so my baby fell asleep    ,-2,Negative
408,why   Like what      Ouch arm aching    ,0,Neutral
409,Yuck I hope you got rid of it     But now you can literally say you are angry because of a bug up your ass   Well almost  ,3,Positive
410,hahahah yesss   ahh I miss you too     itsbeentoolong ,0,Neutral
411,Awwww    What a night    smh Manasula irukura sila visayangala velipadaiya pesurathu tappa      Feelings ,0,Neutral
412,I agree  I also believed Kim was possibly drinking again  Yes ratings are everything to any network  Its the almighty      “,0,Neutral
413,มีคนหยุด เรียนตามเราด้วยแระ 55555” เลววว วันนี้เค้าต้องสอบนะแม่ง    ,0,Neutral
414,I understand   you must get so many now    i remember when u were so happy to get 10know you like famous    ily but miss you x Wait me ontet  3 » ,2,Positive
415,Come here bebeb RT ,0,Neutral
416,Kangen akan kampung halaman harus pulang dulu     I m sick   Had such a bad day I just wish my big sis was home she all ways knew how to put a smile back on my face    Dang    So many people have already left for break  I miss my friends already     hoiii jangan lah merajuk       I don t get Chris s tweets   I m lost     I wish ,-1,Negative
417,was DTB  down to boneeeee erzzzz   but his weiner is so little    AHHH             And I know that he is not going to forgive me to what i ve done     ,-2,Negative
418,what        serius mw nikah    RT ,0,Neutral
419, Nabila wahida kenapa akad nikahmu harus selasa dan itu jam 10 pagi    http   myloc me qYCFZ ,0,Neutral
420,missed u more    inshallah ashooofk greeb    Yoyoi kamu kpn di jogja  RT  ,-1,Negative
421,Lewatnya ringroad     RT  ,0,Neutral
422,Kagak omy RT  ,0,Neutral
423,Naik shuttle bus efisiensi ,0,Neutral
424,       iyou setengah jam lagi    lamalama RT ,0,Neutral
425,   I lay down for a power nap and end up sleeping til almost 10pm  Cool story bro     Up is such a sad movie    haha aye but gniiite     Gubaun akong laptop  Pwede ireformat      ,-1,Negative
426,   I wish I went to school with you fur just one day     Darn    ,1,Positive
427,idek i prob failed as usual    i felt like it wasnt too bad though ,0,Neutral
428,la kenapa pula   jangan la    I ammm  This a long ass drive      ,1,Positive
429,So sad that I didn t get to meet you this season   maybe next season  I hate when people open your snap chat and don t reply     ,-3,Negative
430,   Niemand is gewoon al wakker   This feeling       ,0,Neutral
431,We re watching it next week when we come back  Idk if I can wait that long    ,1,Positive
432,yikes    I was thinking the same ,0,Neutral
433,awainya  keja dah smkin bz  gaji smkin ckit  how     ,0,Neutral
434,in a relationship nas otin mang  hahaha  g unhan ko daaah    ,0,Neutral
435,k Pena        MIS oraciones Para el Tanto que ofreser    ,0,Neutral
436,baby    bbm akoh ndak dibales    ,0,Neutral
437,there is no more     but I can sneak you a piece from sams     P ,0,Neutral
438, hugs     hope it is feeling better ,1,Positive
439,OMg     ,0,Neutral
440,   i didnt do anything lolol В голове играет новогодняя песенка из рекламы Кока Колы  Хз где отмечать    Одна буду наверно  ,0,Neutral
441,cara    ele ta lokao dps q ela morreu ta triste so isso    ,0,Neutral
442,oh    okay monkey  I love you  ,1,Positive
443,У нас уже половина второго   Lapar baqhangggg      Hola ,0,Neutral
444,reite conmigo    Sick     ,-1,Negative
445,Alcantara s Residence  http   4sq com S9CvSc I m soooo bloated    ,0,Neutral
446,ouch    i come every time though  ,0,Neutral
447,I wanna come but I gotta get up early   I m trying to figure a plan  Can someone buy me a frap      ,0,Neutral
448,Starbucks w  3 others  http   4sq com T2Q4QD Missing my dad         So my brother never called back smh ,-2,Negative
449,Bout to hit the bed     æäæåååé        æèçåæ ,0,Neutral
450,ughh I wish I was there    don t have to much fun without me   getfaded ,0,Neutral
451,My poor mum has to go watch Twilight because my dad thinks she ll like it     lol  Nice of my dad but   come on  contd  ,1,Positive
452,aweeehh   what happened     You arent getting bak together      you  two  were  so  cute      Why me    hohoho  D kenapa sya RScacian       ,1,Positive
453,Doesn t think my bestfriend ,0,Neutral
454,loves or remember me anymore I feel abandoned        ,-1,Negative
455,o m g  another one  Poor sweetie    g ingt ap lu ngatain gue apaan  XD RT ,-1,Negative
456,Loh loh knp   ,0,Neutral
457,gue msh ngambek sm elu    RT ,0,Neutral
458,Waaaow damn she big       beeehhh mulai bener2 panik kehilangan SIM mobil dan KTP padahal gak keluar dari tas syp yaa kira2 yang ambil    Hayys dameng susulatin    I asked my dad to the movies    even he turned me down  sadsadDAY    ,0,Neutral
459,I miss you too    หิวมากมากมากกกกกกก     ,0,Neutral
460,อาคาร 50 ปี w  3 others  http   4sq com Tf8jVt ,0,Neutral
461,yea hope he makes it  machocamacho    I feel like a fake tai tai  Dim sum brunch   nw hair appt  Diff is paying for everything myself   heading back to sch to mug after this    I don t stand anywhere    worst feeling EVER     Kangen makan sama ,-1,Negative
462,sampe telat masuk kuliah     ,0,Neutral
463,gado gado pojokan Kalimongso  http   4sq com RSFWes ,0,Neutral
464,i miss you too    SO  MUCH  And i still wanna see the picture  Havent really talked to him all day     I need help  Idk what I should do     ,2,Positive
465,Rindu     Nak jumpa       3 kms in 45 minutes     BangaloreTraffic So many cars with just single occupants  Will car pooling ever be a reality      My hair takes foreverrrrr to grow    thickhairprobss ,1,Positive
466, 20TwiterosFavoritos ,0,Neutral
467,porque siempre me chulea o al menos antes lo hacía        Saludos    I was 107 when I came to pembroke    Now I m just ashamed    ,1,Positive
468,me too    My whole body aches    please don t tell me I have the flu    Taylor bein mean      Gosh ,1,Positive
469,dh   tp x blh la  dia ckap try again      Awh uncle Jessie ran away from home    fuckballs  migraine    ,0,Neutral
470,lol me too 12 to 9    it s bout to be cray cray ,0,Neutral
471,ออมไม่ชอบกัด   ออมทำอย่างอื่นดีกว่า ออมก็รู้สึกผิด   Headache    I been getting them a lot lately    My stomach hurt    โกรธกันแล้ว ในใจของเธอมีความสุขมั้ย   โกรธกันแล้วมันดีอย่างไร        ,-1,Negative
472,   Next time yall need to hit me upp to come over  cuz i will steall my momma car lolol  ,0,Neutral
473,None of my family is coming from out of town for Thanksgiving     The Vaughn s are          Oh no  He s infected     RT ,-1,Negative
474,Owl City  Bahasa Alay Bikin Saya Gila http   de tk mgmOH via ,0,Neutral
475,http   myloc me qYCIa ,0,Neutral
476,I m mad at you for not saying hi to me     Mie nya hbiss mas    RT ,0,Neutral
477,akhirnya nggk makan mie lagi RT ,0,Neutral
478,Deliv lamaaa  s lapar nihhh chelsea down skrg    I want u now  Desperately     ,0,Neutral
479,you don t believe me    Odio No Poder Cumplir Algo Qe Quiero y Me Siento Mal    “,0,Neutral
480,I just wanted to let you know that I miss seeing you   ” I miss seeing you too  ,2,Positive
481,noooo    My orange is a yellow       notastasty http   p twimg com A8Mr0YTCMAAjULH jpg  HonestyHour I ve never had a dog    My covers smell just like him   ughh wish i was still sleeping next to him    Dear Amy Green  please don t take my Niall Horan from me       I just want to sleep    ,3,Positive
482, u tgk kaki si ziyad nie   kena kudis teruk   dah 2 mgu x baik      http   p twimg com A8Mr5U CIAEW61f jpg Capej    ,0,Neutral
483,turn that     into      I’m not gonna how for this tho      P Baik Denon  Kak tgh sedihhh    ,-1,Negative
484,bummed that I didn t get to meet you this season   maybe next season  We will miss you guys so much in senoia   Hahaaa mamam bel plg msh lama coy RT  ,2,Positive
485,Iye cpt sih    ,0,Neutral
486,in so much pain    kan aku udah bilang panaaaaass     ,0,Neutral
487,emang ujan   ,0,Neutral
488,miss my sunshine    So I go on my profile and it says I have one new district message   I get all excited only to find out it is stupid spam       TrueStoryBro ,1,Positive
489,uncle Ian why didn t you tell me I was a big girl    If that  law etarya2t 3ala had hatigi fi 3eyalak  is a fact then god bless my kids    ,0,Neutral
490,take it back     I was offering it to you   I miss ,0,Neutral
491,already    ,0,Neutral
492,I m super sad    why does my mom hate me  ,-1,Negative
493,o idk where that this  Sorry          ,-1,Negative
494,ahay   I hope maka enjoy     I love you too babe    You re screwing your life up and pushing your family away  Just come home and stop lying  I want my big brother back    ,1,Positive
495,I m gone again  No lights   ,-1,Negative
496,satu rindukan qeyya and Nyonya2 yg lainnn     Dua semalam Liy nyaris2 kene langgar dengan Treler     truma       bini saket anak rewel     RT ,0,Neutral
497,Buat ,0,Neutral
498,Band loe pikirin cewe trus Phone been dry af all day       Hehehe yukenya kemana ya   BBM belom di read ,2,Positive
499,We haven t hung out since the last time we hung out    lolol ,-1,Negative
500,Shiiiit bro I always forget     it was two hearts and a thumbs up  I m glad you had a wonderful day  I love you  I hate seeing you like this               ,2,Positive
501,but…I thought… we was… nvm    ,0,Neutral
502,i fucking hatee uuuu    Gila k tdi aku mmpi crush   ,0,Neutral
503,you will fly in one month but i still no have itinerary     I want a pug    any offers   Yup I m getting sick       Belly aches and stick shifts don t go well together waaaah Shit crazyyyy man        My AM quit    Crying face    ,-2,Negative
504,Thank you       ,0,Neutral
505,I need advice    I really don t know what to do    and I am smart I just need a hug and some advice  Imma have fat arms   lil hands    I could use some ice cream  All we have in the house is sherbet    ,7,Positive
506,are y all doing it tomorrow   I won t be in the valley until Thursday    10 bids gone wrong       qué tristeza    I wanna talk to him but he s got no serviceeeee    Ngantuk sangat    I have to work in the morning    ,-1,Negative
507,you ve always got a headache         Cant believe i fell for it again   Why do I make wired noses when I get tickled    Waah   ,-2,Negative
508,akala ko si kuya jam ang patay   c mich pala   naiyak tuloy ako sa ending   huhu   ba t ganun       Only four more classes of TV Production    I seriously love that class and everyone in it x x Anybody who knows anyone who s selling yorkies please inform me  Super desperate     isssh RT ,1,Positive
509,PLN badjingan  Aing keur nonton FTV euy      ,0,Neutral
510,If u don t follow me I ll cry myself to sleep    ,0,Neutral
511,I m here for you whenever     Cene mucho y me duele la panza    Maybe next year i ll have a beard    i wish all my problems would vanish     i cant think straight  i have no idea how to make myself get back on track with my life  life ,1,Positive
512,gak ngerti filmnya    Рубрика данкер ньюс  эта блондинка опять спит поэтому придется ехать в вуз одной   ,0,Neutral
513,at home studying    ,0,Neutral
514,smh    Fuck im getting sick    Budak2 SPM dh kluaq dewan and I saw him     ,-1,Negative
515,Me too    I honestly don t know what I did to deserve this     I see my phone this morning n i hope i got it but totally not    I ve never been so upset in my life I ve never had a mark on my face     histerical ,0,Neutral
516,I don t have anyone to laugh with I m lonely without ya   haha ,0,Neutral
517,why are you crying     I m hungry   ,-2,Negative
518,I was out to eat and forgot to answer it     I m sorry    ,-1,Negative
519,wkwkwkw qta senasibsama2 tdk dpt ijin plg         bosan ee natal d sby trussstdk ada yg enakkkk   hehehe Pusing sing sing sing    What does that even mean          Yg di megamendung g di ajak   Hahaaha RT  ,-1,Negative
520,Klu ga karna laperr ogah deh ni mampir ke KFC n makan sendirian gini     ,0,Neutral
521,eeeee mana boleh  Unfair     I rasa dia pilih nama pasal kantoi ctu kot     Kesah Looking at these pictures reminds me of summer two years ago    I am not in a good mood     I wanna sleep but I can t    overwhelmed  sad ,0,Neutral
522,yep  Soggy gross cold fries     http   p twimg com A8MspizCIAAXJRz jpg Belom ada tanda2 ticket promo    “,-1,Negative
523,told me I won t be getting any Christmas presents this year ðð” oh way to turn this around  You re laughing at me    เรื่องบางจะมองตรงไหนก็ผิดอยู่ดี   เราอยากเป็นคนสุดท้ายของเธอนะแต่ฉันเหนื่อยว่ะ        แอบฟิน สคส  ,1,Positive
524,I don t have it anymore    and Ralph why do you still have those  ,-1,Negative
525,Wao que mala noticia me he quedado fría    un saludo enorme desde NY Miss cross country  I can t believe my last season has come and gone     sadtweet Lg makan ko bibirnyabke gigit    amanhã duas aulas com o Frank    joguei pedra na cruz só pode Chunk is tryin  so hard to walk    صبااح الخير هجووم عالجامعه        ,-2,Negative
526,I know    I came back home tho to spend Thanksgiving with the fam     Im sick    First thanksgivingg without my boo baby    ,-1,Negative
527,i have schoooool tomorrow    My Ronchy Voice  SoreThroatProblems    ,0,Neutral
528,that was a nice shirt    ,1,Positive
529,why    ,0,Neutral
530,taw mna oh      Ahí esta el reloj diciéndome que es tarde  Pero yo sé mas que nadie que ya es muy tarde    Im classy ,1,Positive
531, is but were not togwher     drassie love me Nongkrong cantik with ,-1,Negative
532, n ,0,Neutral
533,wish ,0,Neutral
534,were here      http   4sq com WvJQi0 All I have left of her     yes her collar was blinded out cause she was a princess like that       http   p twimg com A8Ms2h CEAAl66O jpg ,1,Positive
535,quiero verte danna    cuando estes en Santiago avisame “,0,Neutral
536,I miss getting cute pictures and text   ” THE SOFTNESS IS TOO REAL Hello hello  keja keja     ,0,Neutral
537,Cafe DPP Sime Darby  http   4sq com UUKANA I really want to go back to Tijuana    Free Ko wifi khojdaii       ,1,Positive
538,Sahid Chowknarayangarh  http   4sq com Tf8IHu Why don t I have any junk food here    I just want some pasta    ugggh She isn t even pretty    same feelings     laper    ,1,Positive
539,hai  Sama lah kita    ,0,Neutral
540,ah pasti marah    need a text buddy    ,0,Neutral
541,   so sorry  Let me know if there s anything I could do to help  Been sitting in the hospital for over 3 hours waiting and today has gone sooooooo sloow i have not selpt an my eyes are very heavy    Berharap dia menuju ke sini    I m going to my sister and Ramiro when I leave     We have such a great time together     My tooth hurts and it s not even 2 30    ,-2,Negative
542,hehe I miss you too   I wish I lived closer to willow    ,0,Neutral
543,los que quiero siempre están ocupados      Sofa king stupid    Quiero verme breaking dawn 2    Lepra       ,-1,Negative
544,Studio16  http   4sq com 10qzcZ4 ,0,Neutral
545,no    I was going to me and Alexus but we couldn t it was too late so she went to my house  p ,0,Neutral
546,Me too      Man school is werid when you dont have your bro there    Iyaa RT ,0,Neutral
547,sama   RT ,0,Neutral
548,Pgnbelajarphotograper☹  No good RT  5  y no estoy en casita         LupitaBalcázarPriego  ,1,Positive
549,dammit    I think castro is gonna be less interesting now      I know sorry         ,-1,Negative
550,sama adit ada jay  p RT ,0,Neutral
551,Bagi kisi2 may   maykarisyayatul  dan besok uas perancis tanpa madame norma    hi cannot get back to sleep     Hello StephenThank you for taking the time to apply with us  We are unable to offer you a position at this time  Targer   Mw ke purwokerto jawa tengah      RT ,1,Positive
552,Mauki kemana RT ,0,Neutral
553, cont  http   tl gd k325ea ,0,Neutral
554,   I know right  No one wants my love   so sad ,0,Neutral
555,yeah i reaaaalllllly don t want points so       ,0,Neutral
556,I knew it       but there is PLENTY to catch up on that for sure lol ,1,Positive
557,noo i wanna be tan    ,0,Neutral
558,I know    I seen on the news  I was hellllla surprised can t sleep   having anxiety about work    thanks bitch    ,0,Neutral
559,read it   That s not the Tanagra I know      whattheheck    No es normal que a una persona se le pierda solo una zapatilla      My back hurts like hellllll     watching ,-1,Negative
560,Vlogs about Philippines make me wanna go back to DAVAO     iloveDavao ,0,Neutral
561,      3 I m so tired    ,-1,Negative
562,nkabed rest aq    ,0,Neutral
563,Awh don t cry love    just know you know way more about me then anyone   3 Oiya ya hhe sorry lg ga konsen   ,0,Neutral
564,kan aku udah bilang panaaaaass     ,0,Neutral
565,emang ujan    ,0,Neutral
566,syp co  Sunny ap   I been sick all day fml      A world without twinkles     http   hostessbrands com Closed aspx Yes  i cannot lie what i keep inside in my deep heart  Yeah   im waiting you  waiting    ,1,Positive
567,adoii  Dia tgok dia jles lagii bagoss  Haha  Actually jauh dari Kwn2  Sllu jumpa peluk cium Haa  Haha  Nnty buu awk mrah    Eric wont let me talk to  latino      Sad    where are you  you were who made the mistake  it wasn t me  so why am I missing you   ,-3,Negative
568,has a cooler lock screen than me     I m going to miss my sister and Ramiro when I leave     We have such a great time together     ,1,Positive
569,hmmmn    Aku juga ga ada pulsa maaf RT ,0,Neutral
570,aku gak ada pulsa   maaf beberapa hari ini sibuk uts    sbenarnye abahh dulu pilot  but lepas xcident time bwak flight dulu nenek trus tak bgi dye jdi pilot lagi    xley xley  ni tlg mkn kn  hehe  ,0,Neutral
571,belikan utk sy sekali senior  Nak ubah mood ceria dgn mkn coklat       ,1,Positive
572,Uh  Hey  Miss you     Extraño esas noches de fogata afuera de mi casa con mis mejores amigos    ,0,Neutral
573,tell that to my annoying chemistry teacher    clearly teachers don t understand I m busy every night going to the Markaz   ,-1,Negative
574,that s pretty tight   nocheetah    If i anything happens idk what i would do     worst night ever  ,-1,Negative
575,yes  I know    Bulan 2   Patah balik tuu   Jenoh laa    RT  ,0,Neutral
576,2 2 12  So many things to choose from     thelifeofamakeuplover ,0,Neutral
577,aku terseksa mandi ayaq sejuk     afiq mai baiki plsssss   pancing harold n kumar 3  So hungry    Kung masasaktan man kita o kaya lalo na ako para kabutihan natin toh eh  Baka namali ka lang mag mahal o kaya ako        ,-1,Negative
578,I was one away last time and me and the ratchet ,-1,Negative
579,wernt very pleased         I m Mad Though Cause Shonnie Made Stuffed Shells   I Want Some    ,4,Positive
580,thr northridge one  I dont know no one here thats why    ,0,Neutral
581,So you werent in the party last night    ,-1,Negative
582,msn I did mine in may and still haven t got it     ,-1,Negative
583,its lame    lol you go to bell  Haha tau jae     wkwk mau coklat apa si bilang aja  ,-1,Negative
584,Dikeluarin doang kak tapi gak dibeliin   RT ,0,Neutral
585, keluarin do ,0,Neutral
586,I miss you    i work all weeek my only day off was on monday    Dmna    aku mah pgn beli camerana  DRT ,1,Positive
587,hayu dong belajar RT ,0,Neutral
588,Iyaa RT ,0,Neutral
589,sama   RT ,0,Neutral
590,Pgnbelaj    ,0,Neutral
591,I miss you more    are you coming home any time in the near future    ,1,Positive
592,gimme one hour PWEASE     you re lucky I love you     see ya at 12 40 my depressed ass will be waiting for you ,0,Neutral
593,   okay ,1,Positive
594,what the heck     knock some sense into her man  pahal mek duak blh silent cmtok    ,1,Positive
595,Would have been a good job   Twitter is going to start charging  read this article     http   bit ly QWIhrP Check out      at Asia Hotel Bangkok  — http   path com p 2qEBZK ,1,Positive
596,where ve you been bro  I haven t seen you in forever     ,0,Neutral
597,that s so crazy to think  I can t believe he s gonna be 2    I wanna see you guys  I probably won t be home for a while though ,1,Positive
598,You Are    ,0,Neutral
599,you mad       And why not    I don t know but my heart sank    Scared    ,1,Positive
600,   Batuk dok brety   Hmm    ,0,Neutral
601, so sad about you leaving DWTS    ,-1,Negative
602,aww that s sad    I m sorry   ,-2,Negative
603,okok thanks ckgu      tga take a breakk  Hahah  Dari kul 5 smpi skrg blm habishabis     ok take it easy yeah    am sorry baby   http   p twimg com A8Mt2 2CQAEyLNv jpg Work     ,-1,Negative
604,Almulla Company  http   4sq com Ui0BZP alahhhFon rosak    nasib baik ada duit nak beli fon baru   wunk wunk     As bad as I wanna leave I can t    I m right here with my boy  เบื่อชีวิตอะ    Slept all day after work and still tired     ,-1,Negative
605,Ahhhh toser y toser sin que nadie te haga caras   Cough cough COUGH   Jiji               P   O     B    O ,0,Neutral
606,Kay since i had to change my twitter name     ,0,Neutral
607,I m really hoping ,1,Positive
608,doesn t fuck it up     Cuando nadie tenia nasa con nadie del barrio y solo disfrutabamos el momento  QueNosPaso     ,0,Neutral
609,wait aaa jan   Belum rest lagii niee    Today will be my last hookah sesh with Ramiro   Mayra     I hate going to bed upset    ,-2,Negative
610, ð ,0,Neutral
611,I have it but its disconnected    I hate when people are alone at the bar  Makes me sad    “,-2,Negative
